unique_id,Primary_Name,Secondary_Name,Fathers_me,Birthplace,Birthplace_Code,Certainty_of_Birthplace,Work/Living_Places,Work/Living_Places_Code,Endeavor_codes,Endeavors,Era,Century,Fame,philosophy,culture,economy,politics,military,religion
Agesilaus II_74,Agesilaus II,,Agis II,Sparta,345,1,"Sparta,Asia,Corinth,Coronea,Acarnania,Boeotia,Asia,Egypt","345,0,0,0,0,0,0,0","603,412",,8,,0.9,0,0,0,1,0,0
Agis II_75,Agis II,,Archidamus II,Sparta,345,1,"Sparta,Mantinea,Decelea,Athens,Elis","345,0,0,0,0","603,412",,6,,0.3,0,0,0,1,0,0
Agis III_76,Agis III,,,Sparta,345,1,"Sparta,Crete,Megalopolis","345,0,0","603,412",,9,,0.3,0,0,0,1,0,0
Agis IV_77,Agis IV,,Eudamidas,Sparta,345,1,"Sparta,Aetolia","345,0","603,412,504",,13,,0.3,0,1,0,1,0,0
Agoracritus_78,Agoracritus,,,Paros,509,1,"Coronea,Athens,Rhamnus","0,0,0","201,",,6,,0.3,0,1,0,0,0,0
Agrippa_79,Agrippa,,,,,0,NA,0,"102,",,,,,0,0,0,0,0,0
Agroecius_80,Agroecius,,,,,0,NA,0,"701,114",,41,,,1,0,0,0,0,1
Agyrrhius_81,Agyrrhius,,,Athens,361,1,Athens,361,"427,411",,7,,0.2,0,1,0,1,0,0
Alaric_82,Alaric,,,Germany,,0,"Germany,Balkans,Rome","0,0,0","412,",,39,,,0,0,0,1,0,0
Albinovanus_83,Albinovanus,Celsus,,,,3,"Rome,Armenia","0,0","113,422",,22,,0.2,0,1,0,1,0,0
Albinovanus Pedo_84,Albinovanus Pedo,,,,,0,"Rome,Germany","0,0","417,113",,23,,,0,1,0,1,0,0
Albinus (1)_85,Albinus (1),,,,,3,Smyrna,0,"102,",,29,,0.1,0,0,0,0,0,0
Albinus (2)_86,Albinus (2),,,,,0,Rome,0,"102,407",,36,,,0,0,0,1,0,0
Albucius_87,Albucius,Titus,,,,0,"Rome,Athens,Sardinia,Athens","0,0,0,0","102,107,406,0",,18,,,0,1,0,1,0,0
Albucius Silus_88,Albucius Silus,Gaius,,Novaria,,3,Rome,0,"411,110",,22,,,0,1,0,0,0,0
Alcaeus (1)_89,Alcaeus (1),,,Mytilene,,3,"Mytilene,Egypt","0,0","101,427,504",,-3,,,0,1,0,1,0,0
Alcaeus (2)_90,Alcaeus (2),,,Athens,,2,Athens,0,"118,",,7,,,1,0,0,0,0,0
Alcaeus (3)_91,Alcaeus (3),,,Messene,,3,Messene,0,"113,101",,14,,,0,1,0,0,0,0
Alcamenes_92,Alcamenes,,,Athens,,2,Athens,0,"201,",,6,,,0,1,0,0,0,0
Alcibiades_93,Alcibiades,,Cleinias,Athens,361,3,"Athens,Argos,Sparta,Athens,Samos,Cyzicus,Athens,Notium,Aegespotami,Phrygia","0,0,0,0,0,0,0,0,0,0","412,427,411,0,0,426",,6,,0.7,0,1,0,1,0,0
Alcidamas_94,Alcidamas,,,Elaea,,1,Athens,361,"119,109,107,110",,,-4,0.2,1,1,0,0,0,0
Alcidas_95,Alcidas,,,Sparta,345,1,"Sparta,Mytilene,Corcyra,Heraclea","0,0,0,0","417,0",,5,,0.2,0,0,0,1,0,0
Alcinous (2)_96,Alcinous (2),,,,,3,NA,0,"102,107",,,2,0.3,0,1,0,0,0,0
Alciphron_97,Alciphron,,,,,3,NA,0,"109,107",,,2,0.1,1,1,0,0,0,0
Alcmaeon (2)_98,Alcmaeon (2),,,Croton,56,1,NA,0,"102,107",,,-5,0.2,0,1,0,0,0,0
Alcman_99,Alcman,,,Laconia,2171,3,Sparta,345,"101,",,,-8,0.8,0,1,0,0,0,0
Alexander (1) I_100,Alexander (1) I,,,Macedon,2194,1,"Macedon,Krousia,Olympia","0,0,0","603,412,426",,3,,0.3,0,0,0,1,0,0
Alexander (2) II_101,Alexander (2) II,,Amyntas,Macedon,2194,1,"Macedon,Thessaly","0,0","603,412",,8,,0.1,0,0,0,1,0,0
Alexander (3) III_102,Alexander (3) III,,Philip II,Macedon,2194,1,"Macedon,Chaeronea,Danube,Sardis,Ephesus,Miletus,Halicarnassus,Lycia,Pamphilia,Phrygia,Tyre,Gaza,Babylon,Susa,Persepolis,Ectabana,Bactria,India,Babylon","0,0,0,0,0,0,0,0,0,0,0,Gaza,Babylon,Susa,Persepolis,Ectabana,Bactria,India,Babylon","603,412,423",,9,,4,0,0,0,1,0,0
Alexander (4) IV_103,Alexander (4) IV,,Alexander (3) III,Babylon,2049,1,Macedonia,0,"602,",,10,,0.2,0,0,0,1,0,0
Alexander (5) of Pherae_104,Alexander (5) of Pherae,,,Pherae,414,2,"Pherae,Peparethos","0,0","605,412,419",,8,,0.3,0,0,0,1,0,0
Alexander (6) I_105,Alexander (6) I,,,Molossia,2211,2,"Molossia,Tarentum,Pandosia","0,0,0","603,412",,9,,0.2,0,0,0,1,0,0
Alexander (7) II_106,Alexander (7) II,,Pyrrhus,Molossia,2211,3,"Molossia,Macedonia","0,0","603,412",,12,,0.1,0,0,0,1,0,0
Alexander (8) of Pleuron_107,Alexander (8) of Pleuron,,,Pleuron,,2,"Pleuron,Alexandria,Macedonia","0,0,0","114,113,107",,11,,,1,1,0,0,0,0
Alexander (9)_108,Alexander (9),,Craterus (2),,,3,"Corinth,Euboea,Argos","0,0,0","401,406,504,603",,13,,,0,1,0,1,0,0
Alexander (10) Balas_109,Alexander (10) Balas,,Antiochus (4) IV,,,3,Antioch,0,"504,603",,16,,0.1,0,1,0,1,0,0
Alexander (10) 'Polyhistor'_110,Alexander (10) 'Polyhistor',,,Miletus,854,1,Rome,0,"310,107",,19,,0.2,1,1,0,0,0,0
Alexander (12)_111,Alexander (12),,Numenius,,0,3,NA,0,"119,102,107",,,2,,1,1,0,0,0,0
Alexander (13) of Abonuteichos_112,Alexander (13) of Abonuteichos,,,Abonuteichos,,1,Asia Minor,0,"703,",,29,,,1,0,0,0,0,0
Alexander (14) of Aphrodisias_113,Alexander (14) of Aphrodisias,,,,,3,Athens,0,"107,110,102",,31,,0.7,0,1,0,0,0,0
Alexander (15) Philaethes_114,Alexander (15) Philaethes,,,,,3,Asia,0,"307,107",,,-1,0.3,1,1,0,0,0,0
Alexander (16)_115,Alexander (16),,,Tralles,,1,Rome,0,"307,107",,,,,1,1,0,0,0,0
Alexis_116,Alexis,,,Thurii,2319,1,Athens,361,"118,107",,9,,0.6,1,1,0,0,0,0
Alfenus Senecio_117,Alfenus Senecio,Lucius,,Cuicul,,1,"Mauretania Caesariensis,Rome,Syria Coele,Britain","0,0,0,0","424,406,406,412",,31,,0.1,0,0,0,1,0,0
Alfenus Varus_118,Alfenus Varus,Publius,,Cremo,2105,1,"Rome,Mantua","0,0","407,111,107",,21,,0.5,1,1,0,1,0,0
Alfius (Alphius) Avitus_119,Alfius (Alphius) Avitus,,,,0,3,NA,0,"108,107,113",,,3,,1,1,0,0,0,0
Allectus_120,Allectus,,,,,1,Londinium,0,"422,504,601",,34,,0.2,0,1,0,1,0,0
Alyattes_121,Alyattes,,,Lydia,2192,1,"lydia,Smyrna,Clazomenae,Miletus","0,0,0,0","603,",,-2,,0.3,0,0,0,1,0,0
Alypius_122,Alypius,,,,,3,NA,0,"210,107",,,3,0.1,0,1,0,0,0,0
Amadocus (1)_123,Amadocus (1),,,Thrace,2318,1,Thrace,0,"603,",,6,,0.2,0,0,0,1,0,0
Amadocus (2)_124,Amadocus (2),,,Thrace,2318,1,"Thrace,Nestos","0,0","603,",,8,,0.2,0,0,0,1,0,0
Amafinius_125,Amafinius,Gaius,,,,1,NA,0,"102,107",,,-1,0.2,0,1,0,0,0,0
Amarantus_126,Amarantus,,,Alexandria,,1,NA,0,"107,104",,,2,0.1,0,1,0,0,0,0
Ambiorix_127,Ambiorix,,,Gaul,,2,Gaul,0,"607,504",,20,,,0,1,0,1,0,0
Ambivius Turpio_128,Ambivius Turpio,Lucius,,,,3,NA,0,"207,206",,,-2,0.9,0,1,0,0,0,0
Ambrose_129,Ambrose,,,Gaul,,1,"Liguria,Milan,Trier","0,0,0","406,701,703,107",,38,,,1,1,0,1,0,1
